;gndIdentifier;GND_name;GND_occupation;GND_gender;GND_country;placeOfBirth;GND_birth;GND_death;periodOfActivity
30;138406804;Gimon, Sybille;Komponistin, Liedermacherin, Musikerin, Gitarristin;Weiblich;Deutschland;;1950.0;;
31;103803769;Lienert-Zultner, Grete;Liedermacherin, Schriftstellerin;Weiblich;Deutschland;Mălîncrav;1906.0;1989.0;
32;118996649;Heizmann, Hella;Komponistin, Musikerin, Liedermacherin, Sängerin, Dirigentin, Herausgeberin;Weiblich;Deutschland;Wetzlar;1951.0;2009.0;
33;1041589905;Gundt, Kerstin;Politologin, Journalistin, Liedermacherin;Unbekannt;Deutschland;;1969.0;;
34;107079662X;AnniKa von Trier;Liedermacherin, Sängerin, Akkordeonistin, Performancekünstlerin;Weiblich;Deutschland;Trier;1970.0;;
35;1022827235;Köbernick, Uta;Schauspielerin, Autorin, Liedermacherin, Musikerin, Komponistin;Weiblich;Deutschland;Berlin;1976.0;;
36;13151976X;Meinecke, Ulla;Musikerin, Liedermacherin;Weiblich;Deutschland;;1953.0;;
37;118585606;Muhr, Caroline;Schriftstellerin, Liedermacherin;Weiblich;Deutschland;Essen;1925.0;1978.0;
38;1209572966;Pilling, Uta;Liedermacherin, Musikerin, Lyrikerin, Malerin;Weiblich;Deutschland;Westerhausen (Thale);1948.0;2020.0;
39;111548852X;Bodenstein, Gabriele;Schriftstellerin, Librettistin, Liedermacherin;Weiblich;Deutschland;;1947.0;;
40;135100720;Müller, Gitte;Liedermacherin, Sängerin, Komponistin;Weiblich;Deutschland;;1958.0;2021.0;
41;1045059846;Badenius, Fee;Sängerin, Liedermacherin;Weiblich;Deutschland;Lübeck;1986.0;;
42;1242744940;Natalevyč, Natalija;Musiklehrerin, Sängerin, Liedermacherin;Weiblich;Ukraine, Deutschland;;1977.0;;
43;1193001382;Nickschas, Cynthia;Liedermacherin;Männlich;Deutschland;Tuttlingen;1987.0;;
44;1029610924;Pepper, Jennifer;Sängerin, Liedermacherin;Weiblich;Deutschland;;1985.0;;
45;13527091X;Engelbach-Brüggemann, Eva;Komponistin, Liedermacherin, Schauspielerin;Weiblich;Deutschland;;1970.0;;
46;135032830;Nowak, Maike Maja;Komponistin, Musikerin, Liedermacherin, Gitarre;Weiblich;Deutschland;Leipzig;1961.0;;
47;1102963011;Mackert, Lucie;Liedermacherin, Komponistin, Gitarristin, Schauspielerin, Sprecherin;Weiblich;Deutschland;;1987.0;;
48;1120321271;Stern, Maria;Autorin, Tanzlehrerin, Liedermacherin;Weiblich;Deutschland;Berlin;1972.0;;
49;1323874763;LeLá, Jean;Liedermacherin;Unbekannt;Deutschland;;1976.0;;
50;1054323852;Bea;Liedermacherin, Musikerin, Sängerin, Komponistin, Sprecherin, Lehrerin;Weiblich;Deutschland;Köthen (Anhalt);1963.0;;
51;1054323895;Schulz, Beate;Liedermacherin, Musikerin, Sängerin, Komponistin, Sprecherin, Lehrerin;Weiblich;Deutschland;Köthen (Anhalt);1963.0;;
52;132428156;Kampmann, Monika;Sängerin, Liedermacherin, Pädagogin, Komponistin, Musikerin;Weiblich;Deutschland;Köln;1946.0;;
53;1254964363;Fitzek, Lisa;Sängerin, Liedermacherin, Gitarristin, Landschaftsarchitektin;Weiblich;Deutschland;München;1993.0;;
54;129970433;Pauly, Angelika;Schriftstellerin, Lyrikerin, Buchdruckerin, Schriftsetzerin, Musikerin, Sängerin, Liedermacherin, Komponistin;Weiblich;Deutschland;Wuppertal;1950.0;;
55;1131081951;Kehrer-Schreiber, Friedel;Liedermacherin, Schauspielerin;Weiblich;Deutschland;Reutlingen;1959.0;;
56;13523705X;Völker, Kordula;Sängerin, Liedermacherin, Kabarettistin, Moderatorin, Komponistin, Autorin;Weiblich;Deutschland;;1958.0;;
57;106242087X;Browne, Ebony;Sängerin, Liedermacherin;Weiblich;USA, Deutschland;Portland, Or.;1974.0;2007.0;2001.0
58;1218024372;Müller, Ariane;Musikerin, Pianistin, Liedermacherin;Weiblich;Deutschland;Ulm;1980.0;;
59;1091592039;Breuer, Kati;Musiklehrerin, Autorin, Liedermacherin, Komponistin, Pädagogin;Weiblich;Deutschland;Bremen;1968.0;;
60;139586091;Zeul, Johanna;Musikerin, Sängerin, Liedermacherin;Weiblich;Deutschland;Filderstadt;1981.0;;
61;130431133;Kandemir, Hülya;Sängerin, Liedermacherin, Autorin;Weiblich;Deutschland;Erbendorf;1975.0;;
62;1100563865;Weißbach, Merle Anne;Violoncellistin, Pianistin, Sängerin, Gitarristin, Liedermacherin, Komponistin;Weiblich;Deutschland;Flensburg;1986.0;;
63;1378849124;Terwey, Ellen;Musikerin, Liedermacherin, Pädagogin;Weiblich;Deutschland;Oldenburg (Oldenburg);1950.0;;
64;123052750;Georges, Paula C.;Schriftstellerin, Lyrikerin, Liedermacherin, Kabarettistin, Lehrerin;Unbekannt;Deutschland;Mannheim;1957.0;;
65;10527349X;Derksen, Johannes;Priester, Schriftsteller, Dramatiker, Prosaist, Heimatschriftsteller, Katholik, Theologe;Männlich;Deutschland;Emmerich am Rhein;1898.0;1973.0;
66;121601757;Pitschmann, Siegfried;Schriftsteller, Prosaist, Uhrmacher, Drehbuchautor;Männlich;Deutschland, Deutschland (DDR);Grünberg i. Schlesien;1930.0;2002.0;
67;133018377;Katsuros, Phlōros;Ethnologe, Numismatiker, Prosaist;Männlich;Griechenland, Deutschland;Athen;1937.0;;
68;117177016;Schulte, Gerhard;Lehrer, Angestellter, Schriftsteller, Prosaist;Männlich;Deutschland;Kempen-Tönisberg;1875.0;1951.0;
69;123376963;Falberg, Tobias;Lyriker, Prosaist, Zeichner;Männlich;Deutschland;Wittenberg;1976.0;;
70;1233755099;Kraglund, Jens;Fotograf, Musiker, Schauspieler, Prosaist;Männlich;Deutschland;Hamburg;1950.0;2022.0;
71;118566156;Kramp, Willy;Schriftsteller, Prosaist;Männlich;Deutschland;Mülhausen;1909.0;1986.0;
72;118585045;Müller, Johannes von;Historiker, Politiker, Prosaist, Diplomat, Bibliothekar, Geschichtsschreiber, Historiker;Männlich;Schweiz, Deutschland;Schaffhausen;1752.0;1809.0;
73;1045060747;Odijk, Paul van;Autor, Prosaist, Sportler;Männlich;Deutschland;Überlingen;1995.0;;2009
74;1046247182;Raabe, Eduard;Autor, Prosaist, Mundartschriftsteller;Männlich;Deutschland;Soest;1851.0;1929.0;1845
75;1046289519;Hradetzky, Walter;Autor, Prosaist, Übersetzer;Männlich;Tschechische Republik, Deutschland (DDR);Vratislavice nad Nisou;1926.0;1986.0;
76;1046298496;Radtke, Günter;Polizeibeamter, Autor, Prosaist, Jurist;Männlich;Deutschland (DDR);Stettin;1927.0;1987.0;
77;104645983X;Rengilli, Bernd;Autor, Prosaist;Männlich;Deutschland;;1942.0;;2006
78;1045710962;Piella, Mark;Autor, Prosaist;Männlich;Deutschland;;1965.0;;1993
79;1045712531;Pienzenau, Christian;Autor, Prosaist;Männlich;Deutschland;Haus (Wald);1963.0;;2000
80;104571321X;Pierau, Marc;Schüler, Autor, Prosaist;Männlich;Deutschland;;1974.0;;1987
81;1045720267;Pilarczyk, Werner;Lehrer, Autor, Prosaist;Männlich;Deutschland;;1956.0;;2003
82;1045795674;Pohlenz, Christian;Autor, Prosaist;Männlich;Deutschland;Essen;1963.0;;2002
83;1045841285;Pontes, Andrée;Autor, Prosaist;Männlich;Deutschland;;1929.0;;1961
84;1049307410;Staub, Gerhard;Autor, Prosaist;Männlich;Deutschland;;1949.0;;
85;1048028208;Schwarzkopf, Tony;Autor, Prosaist;Männlich;Deutschland;Berlin;1964.0;;1997
86;1045659274;Quenel, Maximilian;Autor, Prosaist;Männlich;Deutschland;;1896.0;;1922
87;1046950517;Saar, Willi von;Autor, Prosaist;Männlich;Deutschland;;1952.0;;1980
88;1046390759;Regner, Uwe;Autor, Prosaist;Männlich;Deutschland;;1960.0;;1989
89;104769865X;Schöne, Jürgen;Autor, Prosaist;Männlich;Deutschland (DDR);;1936.0;;1976
90;104615544X;Prinz, Rudolf;Autor, Prosaist;Männlich;Deutschland (DDR);;1929.0;;
91;1046687891;Rölleke, Lothar;Autor, Prosaist;Männlich;Deutschland (DDR);;1946.0;;1980
92;1048292630;Schäfer, Georg;Maler, Journalist, Schriftsteller, Autor, Prosaist;Männlich;Deutschland, USA;Leinefelde;1926.0;1990.0;
93;1047784939;Schrankl, Wolf;Autor, Prosaist;Männlich;Deutschland;;1969.0;;2006
94;1047835339;Schubert, Ulli;Autor, Prosaist;Männlich;Deutschland (DDR);;1955.0;;1980
95;141933992;Gutberlet, Heinrich;Lyriker, Prosaist;Männlich;Deutschland, Polen;Bad Hersfeld;1877.0;1953.0;
96;116305339;Prossinagg, Ernst;Generalsekretär, Prosaist, Dramatiker, Schriftsteller;Männlich;Österreich, Deutschland;Wien;1886.0;1966.0;1916
97;102611425X;Höffner, Johannes;Pfarrer, Schriftsteller, Publizist, Prosaist;Männlich;Deutschland;Drawsko Pomorskie;1868.0;1929.0;
98;117136379;Oppenberg, Ferdinand;Lyriker, Prosaist, Schriftsteller;Männlich;Deutschland;Duisburg;1908.0;1989.0;
99;1073142272;Papantōnēs, Akēs;Prosaist, Kritiker, Biologe, Hochschullehrer;Männlich;Deutschland, Griechenland;;1978.0;;
100;116547421;Rikakēs, Dēmētrēs;Bühnenbildner, Maler, Lyriker, Prosaist;Männlich;Griechenland, Deutschland;;1925.0;;
101;123445892;Pordzik, Ralph;Anglist, Kulturwissenschaftler, Amerikanist, Hochschullehrer, Lyriker, Prosaist, Autor;Männlich;Deutschland;Bielefeld;1966.0;;
102;1332363555;Pjetschka, Paul;Prosaist, Lehrer, Lexikograf, Heimatkundler;Männlich;Polen, Deutschland;Breslau;1865.0;1900.0;
103;1012938360;Kadich von Pferd, Hans;Naturwissenschaftler, Prosaist, Jäger;Männlich;Tschechische Republik, Deutschland;;1864.0;1909.0;
104;141685204;Großmann, Paul;Schriftsteller, Lyriker, Prosaist, Librettist, Oberregierungsrat, Schulrat, Komponist;Männlich;Deutschland;Berlin;1865.0;1939.0;
105;1015521495;Gerlach, Kurt;Fachzahnarzt für Kieferorthopädie, Lyriker, Prosaist;Männlich;Deutschland;;1882.0;1961.0;
106;118727559;Leonhard, Rudolf;Schriftsteller, Drehbuchautor, Lektor <Verlag>, Lyriker, Dramatiker, Prosaist, Jurist, Schriftsteller;Männlich;Deutschland, Frankreich;Lissa;1889.0;1953.0;
107;122914120;Löffler, Hans;Schriftsteller, Prosaist, Lyriker, Grafiker, Fotograf, Landschaftsarchitekt;Männlich;Deutschland;Berlin;1946.0;;
108;116602953;Geyer, Ernst;Arzt, Dramatiker, Lyriker, Prosaist, Essayist, Schriftsteller, Arzt, Dramatiker;Männlich;Deutschland;Berlin;1888.0;1982.0;
109;130521558;Herrlein, Theo;Verlagskaufmann, Schriftsteller, Lyriker, Prosaist;Unbekannt;Deutschland;;1939.0;;
110;115374558;Achten, Willi;Prosaist, Lyriker;Männlich;Deutschland;Mönchengladbach;1958.0;;
111;118755145;Schirmbeck, Heinrich;Schriftsteller, Journalist, Prosaist, Philosoph, Umweltschützer;Männlich;Deutschland;Recklinghausen;1915.0;2005.0;
112;118598880;Reding, Josef;Schriftsteller, Prosaist, Übersetzer, Komponist, Librettist, Drehbuchautor;Männlich;Deutschland;Castrop-Rauxel;1929.0;2020.0;
113;108961036;Gallwitz, Eike;Schauspieler, Prosaist, Schauspieler, Schriftsteller;Männlich;Deutschland;Göttingen;1940.0;2010.0;1968
114;1045713929;Pieszek, Raik;Autor, Prosaist;Männlich;Deutschland;;1970.0;;2005
115;1045767123;Pleuser, Bernhard W.;Journalist, Autor, Prosaist;Männlich;Deutschland;;1951.0;;
116;1045620742;Peters, Oliver;Autor, Prosaist;Männlich;Deutschland;Duisburg;1978.0;;2010
117;116281375;Prechtler, Otto;Schriftsteller, Dramatiker, Lyriker, Prosaist, Librettist, Beamter, Archivar, Lyriker;Männlich;Deutschland, Österreich;Grieskirchen;1813.0;1881.0;
118;1037138368;Guenzel, Manfred;Schriftsteller, Lyriker, Dramatiker, Prosaist, Kunstkritiker;Männlich;Deutschland;Biebrich (Wiesbaden);1932.0;1989.0;
119;1032497335;Kagelmacher, Willi;Schriftsteller, Theaterregisseur, Lyriker, Prosaist, Schauspieler, Regisseur, Schauspieler, Dramatiker;Männlich;Deutschland;Hamburg;1899.0;1984.0;
120;1072476088;Abraham, Malte;Dramatiker, Prosaist;Männlich;Deutschland;Hamburg;1988.0;;
121;1063077273;Wolter, Udo;Prosaist, Journalist;Männlich;Deutschland;Danzig;1912.0;;
122;134632613;Rilz, René;Schriftsteller, Lyriker, Prosaist, Kinderbuchautor, Herausgeber;Männlich;Deutschland;Einbeck;1945.0;;
123;104848128X;Seidel, Bernd;Autor, Prosaist;Männlich;Deutschland (DDR);;1958.0;;1981
124;1045566667;Paul, Matthias;Autor, Prosaist;Männlich;Deutschland;Hanau;1965.0;;1996
125;1045705888;Pickert, Mike;Autor, Prosaist;Männlich;Deutschland;;1959.0;;
126;1045805173;XYZ;Autor, Prosaist;Männlich;Deutschland;;1931.0;;1977
127;1020940549;Siegrist, Heinrich Ernst;Schriftsteller, Prosaist;Männlich;Deutschland;Bergheim (Duisburg);1903.0;1970.0;
128;1047786885;Schreiber, Hans;Autor, Prosaist;Männlich;Deutschland;;1867.0;;1900
129;1049273524;Staehr, Wolfgang;Autor, Prosaist;Männlich;Deutschland;;1964.0;;1989
130;1046247743;Raaber, Josef;Autor, Prosaist;Männlich;Deutschland, Rumänien;Arad (Rumänien);1951.0;;2004
131;1046248715;Rabener, Johann;Autor, Prosaist;Männlich;Deutschland;Breslau;1909.0;;
132;1046398660;Reichelt, Dietrich;Autor, Prosaist;Männlich;Deutschland;;1931.0;;1990
133;1045720194;Pietzsch, Andreas;Autor, Prosaist;Männlich;Deutschland (DDR);;1937.0;;1968
134;1046601636;Ribot, Viktor;Autor, Prosaist;Männlich;Ungarn, Deutschland;Budapest;1933.0;;1992
135;104580505X;Yildirim, Kemalettin;Autor, Prosaist;Männlich;Deutschland, Türkei;Ankara;1962.0;;1984
136;1046143964;Preuss, Ulrich;Maler, Dekorateur, Autor, Prosaist;Männlich;Deutschland (DDR), Deutschland;;1960.0;2000.0;
137;1046931695;Rödiger, Gerd;Autor, Prosaist;Männlich;Deutschland;;1973.0;;2003
138;1047078813;Scappini, Gérard;Autor, Lyriker, Prosaist;Männlich;Deutschland, Frankreich;Toulon;1947.0;;
139;1047080583;Schadow, Wolfgang;Autor, Prosaist;Männlich;Deutschland (DDR);;1944.0;;1985
140;1045396591;Paetzold, Herbert;Autor, Prosaist;Männlich;Deutschland;;1943.0;;1989
141;1049171489;Snela, Jan;Schriftsteller, Prosaist;Männlich;Deutschland;München;1980.0;;
142;104659639X;Reuter, Wolfgang;Autor, Prosaist;Männlich;Deutschland;;1926.0;;1973
143;1046966715;Sakowsky, Lennart;Autor, Prosaist;Männlich;Deutschland;;1982.0;;
144;1046355600;Rasper, Otto;Autor, Prosaist;Männlich;Deutschland;;1918.0;;1980
145;1046374478;Raymonde, Pierre;Autor, Prosaist;Männlich;Deutschland;;1963.0;;1986
146;1046397125;Reich, Armund;Autor, Prosaist;Männlich;Deutschland;;1942.0;;1979
147;1046747878;Ronck, Rolf;Autor, Prosaist;Männlich;Deutschland;;1950.0;;2000
148;1046814192;Rost, Rudolf;Autor, Prosaist;Männlich;Deutschland;;1958.0;;1979
149;1046827324;Rudolph, Amica P.;Autor, Lyriker, Prosaist;Männlich;Deutschland, Deutschland (DDR);;1961.0;;1990
150;1047066912;Sauer, Frank;Autor, Prosaist, Lektor <Verlag>;Männlich;Deutschland;Perleberg;1952.0;;
151;1049834135;Tau, Hermann;Autor, Prosaist;Männlich;Deutschland;;1882.0;;1931
152;1049807707;Harksen, Harke;Schriftsteller, Lyriker, Dramatiker, Prosaist, Journalist;Männlich;Deutschland;;1912.0;;
153;1048020231;Schumann, F. K. E. Paul;Autor, Prosaist;Männlich;Deutschland;Hohenmölsen;1882.0;;
154;1047741113;Schrader, Günter;Autor, Prosaist;Männlich;Deutschland;;1931.0;;1993
155;1052240178;Chrēstidēs, Lenos;Dramatiker, Prosaist;Männlich;Deutschland, Griechenland;Frankfurt am Main;1968.0;;
156;1137582847;Sdrolias, Dēmētrēs;Schauspieler, Pianist, Lyriker, Prosaist, Dramatiker;Männlich;Griechenland, Deutschland;;1900.0;;
157;1046384716;Reckmann, Bernd;Autor, Prosaist;Männlich;Deutschland;Hannover;1955.0;;1978
158;1046597914;Rezniczek, Alfred;Autor, Prosaist;Männlich;Deutschland, Ukraine;Ukraine;1955.0;;2003
159;1046617915;Richter, Uli;Autor, Prosaist;Männlich;Deutschland;;1958.0;;1995
160;1045583871;Pauly, August;Student, Autor, Prosaist;Männlich;Deutschland;Maulbronn;1793.0;1812.0;
161;1046152114;Prielmayer, Gustav von;Autor, Prosaist;Männlich;Deutschland;;1837.0;;1886
162;104565485X;Petto, Ferdinand;Autor, Prosaist;Männlich;Deutschland (DDR);;1965.0;;1990
163;1045679372;Pfister, Stefan;Lehrer, Autor, Prosaist;Männlich;Deutschland;Schweinfurt;1969.0;;
164;1045734667;Pilz, Thomas;Architekt, Autor, Prosaist;Männlich;Österreich, Deutschland;Leverkusen;1966.0;;1989
165;1045738042;Plagens, Andreas;Autor, Prosaist;Männlich;Deutschland;;1962.0;;1982
166;1045841781;Porchet, Thomas;Autor, Prosaist;Männlich;Deutschland;;1970.0;;1991
167;1045085634;Ohler, C. Ph.;Autor, Prosaist;Männlich;Deutschland;;1867.0;;1919
168;1050832736;Pachelhofer, Anton;Gymnasiallehrer, Lyriker, Prosaist;Männlich;Tschechische Republik, Deutschland;Prachatitz;1904.0;1993.0;
169;1047655942;Schneider, Marcus;Autor, Prosaist;Männlich;Deutschland;Neumünster;1971.0;;
170;1047878720;Schultz-Fademrecht, Walter;Autor, Prosaist;Männlich;Deutschland;;1929.0;;1989
171;138857334;Persyn, Alexander;Prosaist;Männlich;Deutschland;Neubrandenburg;1894.0;1982.0;
172;118583107;Mörike, Eduard;Schriftsteller, Liederdichter, Lyriker, Prosaist, Lehrer, Zeichner, Pfarrer, Übersetzer, Librettist;Männlich;Deutschland;Ludwigsburg;1804.0;1875.0;
173;1057578312;Baró, Teodoro;Journalist, Prosaist, Dramatiker;Männlich;Deutschland;;1842.0;1916.0;
174;118514598;Braun, Felix;Philosoph, Kunsthistoriker, Dramatiker, Lyriker, Prosaist, Übersetzer, Herausgeber, Schriftsteller;Männlich;Deutschland, Großbritannien, Italien, Österreich;Wien;1885.0;1973.0;
175;12034193X;Heichen, Walter;Schriftsteller, Prosaist, Übersetzer, Buchhändler, Redakteur, Verleger;Männlich;Deutschland;Stuttgart;1876.0;1970.0;
176;128949333;Herman, Leszek;Prosaist, Journalist;Unbekannt;Polen, Deutschland;Koszalin;1959.0;;
177;119142260;Ganz, Horst;Hals-Nasen-Ohren-Arzt, Prosaist;Unbekannt;Deutschland;;1931.0;2021.0;
178;106644769;Engel, Erika;Kinderbuchautorin, Lyrikerin, Illustratorin, Liederdichterin;Weiblich;Deutschland;Berlin;1911.0;2004.0;
179;140031308;Elterlein, Johanne Amalie von;Schriftstellerin, Liederdichterin, Heimatschriftstellerin;Weiblich;Deutschland;Annaberg;1784.0;1865.0;
180;133048179;Kolberg, Barbara;Organistin, Musikerin, Kirchenmusikerin, Musiklehrerin, Komponistin, Liederdichterin;Weiblich;Deutschland;;1971.0;;
181;124336981;Biedermann, Jeanette;Sängerin, Popmusikerin, Schauspielerin, Sprecherin, Musikerin, Songwriterin, Komponistin, Liederdichterin;Weiblich;Deutschland;Berlin;1980.0;;
182;1136982434;Schwarzfeld, Kea Martina;Kinderbuchautorin, Tanzlehrerin, Choreografin, Schriftstellerin, Liederdichterin, Lyrikerin;Weiblich;Deutschland;;1970.0;;
183;1208538233;Sixt, Harry;Komponistin, Liederdichterin;Weiblich;Deutschland;München;1928.0;2001.0;
184;111026431;Deubener, Gudrun;Theaterwissenschaftlerin, Drehbuchautorin, Liederdichterin;Weiblich;Deutschland;Gößnitz;1931.0;2009.0;
185;1258974185;Stauden, Jutta;Liederdichterin, Sängerin;Weiblich;Deutschland;;1957.0;;
186;12365940X;Gentzmer, Angela;Autorin, Liederdichterin;Weiblich;Deutschland;Berlin;1929.0;2024.0;
187;1205708200;Kartis, Walter;Komponistin, Liederdichterin;Männlich;Deutschland;München;1928.0;2001.0;
188;1278884173;Bedova, Gerti;Liederdichterin;Weiblich;Deutschland;;1900.0;;1947.0
189;1209611724;Gordeev, Valeria;Schriftstellerin, Liederdichterin, Musikerin;Weiblich;Deutschland;Tübingen;1986.0;;
190;1187067695;Drmota, Christa;Liederdichterin;Weiblich;Deutschland;Köln;1945.0;2019.0;
191;1212880854;Kiesinger, Karl;Komponistin, Liederdichterin;Weiblich;Deutschland;München;1928.0;2001.0;
192;1226349536;Jacobs, Monika;Liederdichterin;Unbekannt;Deutschland;;1940.0;;
193;135244110;Connor, Sarah;Sängerin, Sprecherin, Komponistin, Autorin, Liederdichterin, Musikerin;Weiblich;Deutschland;Delmenhorst;1980.0;;
194;1326703412;Bretschneider, Sylvia;Schauspielerin, Liederdichterin;Weiblich;Deutschland;;1971.0;;
195;118753177;Steineckert, Gisela;Schriftstellerin, Drehbuchautorin, Liederdichterin;Weiblich;Deutschland;Berlin;1931.0;;
196;101263279;Karbe, Anna;Liederdichterin, Heimatschriftstellerin;Weiblich;Deutschland;Gramzow;1852.0;1875.0;
197;120302276;Osten, Hedwig von der;Liederdichterin;Weiblich;Polen, Deutschland;;1613.0;1676.0;
198;105915270;Küchenmeister, Wera;Schriftstellerin, Drehbuchautorin, Liederdichterin, Librettistin, Schriftstellerin, Dramatikerin;Weiblich;Deutschland;Berlin;1929.0;2013.0;
199;117585637;Nitschmann, Anna;Seelsorgerin, Predigerin, Liederdichterin;Weiblich;Deutschland;Kunín;1715.0;1760.0;
200;1336248300;Lenz, Mareike;Komponistin, Schauspielerin, Liederdichterin, Musical;Weiblich;Deutschland;;1986.0;;
201;135030072;Schatz, Barbara;Liederdichterin, Komponistin, Librettistin;Weiblich;Deutschland;Halle (Saale);1956.0;;
202;135454883;Kerstgens, Suzie;Komponistin, Sängerin, DJane, Animatorin <Film>, Sprecherin, Liederdichterin, Musikerin;Weiblich;Deutschland;Geldern;1971.0;;
203;123332931;Betancor, Susanne;Sängerin, Komponistin, Liederdichterin, Kabarettistin, Musiker;Weiblich;Deutschland;Neuwied;1964.0;;
204;1285891465;Althaus, Marie Luise;Mundartschriftstellerin, Liederdichterin;Weiblich;Deutschland;Oberstdorf;1939.0;2007.0;
205;120385619;Aubry, Susanne;Autorin, Liederdichterin;Weiblich;Schweiz, Deutschland;;1954.0;;
206;133815617;Ruh, Erna;Sängerin, Liederdichterin;Weiblich;Deutschland;;1916.0;;
207;139364471;Djavadi, Asita;Tanzlehrerin, Choreografin, Sängerin, Mezzosopranistin, Schauspielerin, Komponistin, Dozentin, Liederdichterin;Weiblich;Deutschland;Ehingen (Donau);1971.0;;
208;132953463;Kloß, Stefanie;Sängerin, Komponistin, Liederdichterin;Weiblich;Deutschland;Bautzen;1984.0;;
209;131746626;Heitmann, Gisela;Lehrerin, Autorin, Librettistin, Liederdichterin;Weiblich;Deutschland;;1958.0;;
